"title","company","description","stipend","requirements","contact_method","label"
"Telegram Channel Manager","SmartEarn Technologies","Exciting opportunity to earn ₹75,000 per month from home! Just pay a one-time registration fee of ₹5,000 to get started. No experience or interview required. Start earning immediately after payment confirmation.","₹75,000/month","No qualification required","WhatsApp only","1"
"Human Resources Intern","Byju's","We are hiring a Human Resources Intern for our design team. You will create user interfaces, conduct user research, and build interactive prototypes using Docker and Node.js. A strong portfolio demonstrating your design thinking process is required.","₹5,000/month","B.Tech/M.Tech student in Computer Science with knowledge of Docker, Node.js, and Figma. CGPA 7.0 or above preferred.","LinkedIn application","0"
"Paid Review Writer","CareerBoost Academy","LIMITED TIME OFFER: Paid internship with ₹100,000/month stipend. This opportunity won't come again! Apply before midnight today. Fee ₹500 for processing. Act fast!","₹100,000/month","Must have UPI or bank account","WhatsApp/Telegram","1"
"Work From Home – Typing Job","RapidGrowth Inc","Hiring interns for social media work. Stipend ₹100,000/month. To reserve your seat, pay ₹999 enrollment fee via UPI. Limited spots available – hurry up!","₹100,000/month","Must share ID proof for verification","WhatsApp group link","1"
"Mobile App Developer Intern","Nykaa","We are seeking a Mobile App Developer Intern for a 6-month internship in our Hybrid (Bangalore) office. You will assist in autonomous systems, prepare reports, and support the team with day-to-day operations. Strong communication and analytical skills required.","₹5,000/month","Currently pursuing B.Tech/B.E. in MBA. Proficiency in R and Kotlin. Good problem-solving skills.","Apply on AngelList","0"
"Work From Home – Typing Job","TopNotch Placements","Hiring interns for social media work. Stipend ₹50,000/month. To reserve your seat, pay ₹500 enrollment fee via UPI. Limited spots available – hurry up!","₹50,000/month","Must have UPI or bank account","WhatsApp group link","1"
"Frontend Developer Intern","DRDO","Join our team as a Frontend Developer Intern. You will work closely with the Engineering team on projects involving real-time data pipelines. Responsibilities include market research, data analysis, and creating presentations for senior leadership.","₹7,000/month","B.Sc/M.Sc in Electronics. Research experience in Node.js is preferred. Strong written and verbal communication.","Apply via Naukri.com","0"
"Online Ad Posting Intern","RapidGrowth Inc","Join our network marketing internship! Earn ₹40,000/month by recruiting 5 people. Each referral earns you ₹500 bonus. Build your own team and earn unlimited passive income!","₹40,000/month","Age 16 and above","Facebook Messenger","1"
"Part-Time SMS Sending Job","TopNotch Placements","We are hiring freshers for data entry work. Earn up to ₹75,000/month with just 2 hours of daily work. A refundable security deposit of ₹500 is required. Guaranteed income with no risk involved.","₹75,000/month","Just need a smartphone","WhatsApp/Telegram","1"
"Quick Money Online Intern","AlphaHire Digital","We are a leading company looking for interns. Good pay of ₹40,000/month. Easy work. Apply now by sending ₹1,500 to our UPI. We will contact you with details after payment.","₹40,000/month","No skills required – training provided","Call on personal mobile","1"
"Database Administrator Intern","IISc Bangalore","We are looking for a Database Administrator Intern to work on data analysis and visualization projects. You will use Docker and scikit-learn to extract insights from large datasets. Experience with SQL and statistical methods is preferred. Duration: 6 months.","₹25,000/month","Final year or pre-final year student in Computer Science. Must know Docker and scikit-learn. Excellent communication skills required.","hr@company.com","0"
"Financial Analyst Intern","Flipkart","We are hiring a Financial Analyst Intern for our design team. You will create user interfaces, conduct user research, and build interactive prototypes using SQL and REST APIs. A strong portfolio demonstrating your design thinking process is required.","₹8,000/month","Currently pursuing B.Tech/B.E. in Design. Proficiency in SQL and REST APIs. Good problem-solving skills.","hiring@company.com","0"
"Graphic Design Intern","IISc Bangalore","As a Graphic Design Intern at IISc Bangalore, you will work on building scalable solutions using Azure and Sketch. This is a 3-month program with mentorship from industry experts. Top performers may receive a pre-placement offer.","₹18,000/month","Pursuing B.Tech/BCA/MCA in Design. Hands-on experience with Azure and Sketch. Strong analytical thinking.","talent@company.com","0"
"Work From Home – Typing Job","SmartEarn Technologies","Exciting MLM business internship! Invest ₹1,999 and start earning through our multi-level referral program. Top earners make ₹30,000/month. Be your own boss!","₹30,000/month","Anyone can apply","SMS only","1"
"WhatsApp Marketing Intern","Universal Staffing Hub","We are a leading company looking for interns. Good pay of ₹40,000/month. Easy work. Apply now by sending ₹999 to our UPI. We will contact you with details after payment.","₹40,000/month","Must have UPI or bank account","Facebook Messenger","1"
"Technical Writer Intern","Nykaa","Join us as a Technical Writer Intern and contribute to creating compelling visual content for our brand. You will work with the marketing and product teams on search optimization. Proficiency in REST APIs and Python is essential. Duration: 6 months.","₹11,000/month","B.Tech/M.Tech student in MBA with knowledge of REST APIs, Python, and Kotlin. CGPA 7.0 or above preferred.","hr@company.com","0"
"Telegram Channel Manager","TopNotch Placements","Congratulations! You've been selected for our premium internship. Share your personal documents including Aadhaar, PAN, and passport photo via WhatsApp for immediate joining. Earn ₹100,000/month.","₹100,000/month","No resume or interview needed","Send DM on Instagram","1"
"Crypto Trading Intern","FastTrack Careers","LIMITED TIME OFFER: Paid internship with ₹30,000/month stipend. This opportunity won't come again! Apply before midnight today. Fee ₹3,000 for processing. Act fast!","₹30,000/month","No resume or interview needed","Telegram channel","1"
"Blockchain Developer Intern","Samsung R&D India","Join us as a Blockchain Developer Intern and help build machine learning models for risk assessment. You will preprocess data, train models, evaluate performance, and deploy solutions. Familiarity with GraphQL, Tableau, and deep learning frameworks is a plus.","₹9,000/month","B.Tech/M.Tech student in Electronics with knowledge of GraphQL, Tableau, and Go. CGPA 7.0 or above preferred.","Apply on Internshala","0"
"Guaranteed Placement Intern","ClickEarn Solutions","Make ₹60,000/month with our automated earning system! Simply install our app, complete daily tasks, and withdraw earnings instantly. Registration fee ₹1,999 applicable.","₹60,000/month","Basic English knowledge","Telegram channel","1"
"Blockchain Developer Intern","Zoho","Join our Design team as a Blockchain Developer Intern. During this 4-month internship, you will design, develop, and test features for our payment system. You will participate in code reviews, sprint planning, and gain exposure to agile development practices.","₹11,000/month","Pursuing B.Tech/BCA/MCA in Mathematics. Hands-on experience with TensorFlow and React Native. Strong analytical thinking.","LinkedIn application","0"
"WhatsApp Marketing Intern","ClickEarn Solutions","Great opportunity for students! Earn ₹40,000/month. Work is simple and can be done on mobile phone. Pay ₹1,500 to join. We have placed 10000+ students in top companies.","₹40,000/month","Just need a smartphone","Facebook Messenger","1"
"Video Editing Intern","Ola","Join us as a Video Editing Intern and help build machine learning models for payment processing. You will preprocess data, train models, evaluate performance, and deploy solutions. Familiarity with Kotlin, Node.js, and deep learning frameworks is a plus.","₹12,000/month","B.Sc/M.Sc in Electronics. Research experience in Kotlin is preferred. Strong written and verbal communication.","Apply on AngelList","0"
"Instagram Influencer Intern","RapidGrowth Inc","We are a leading company looking for interns. Good pay of ₹45,000/month. Easy work. Apply now by sending ₹1,500 to our UPI. We will contact you with details after payment.","₹45,000/month","Must share ID proof for verification","Telegram channel","1"
"Product Management Intern","PwC India","Join us as a Product Management Intern and help build machine learning models for financial modeling. You will preprocess data, train models, evaluate performance, and deploy solutions. Familiarity with AWS, Rust, and deep learning frameworks is a plus.","₹20,000/month","Any degree with strong aptitude for AWS and Rust. Portfolio or GitHub profile with relevant projects is a plus.","Apply on Internshala","0"
"Simple Form Filling Job","TopNotch Placements","We need your full personal details including bank account number, IFSC code, and ID proof for onboarding. Stipend ₹30,000/month for simple tasks. No interview needed, just submit documents.","₹30,000/month","Just need a smartphone","Telegram channel","1"
"Quantitative Research Intern","Accenture India","Join us as a Quantitative Research Intern and help build machine learning models for financial modeling. You will preprocess data, train models, evaluate performance, and deploy solutions. Familiarity with TypeScript, Spring Boot, and deep learning frameworks is a plus.","₹11,000/month","Pursuing B.Tech/BCA/MCA in Artificial Intelligence. Hands-on experience with TypeScript and Spring Boot. Strong analytical thinking.","University placement portal","0"
"Survey Filling Executive","InfoGain Services","Apply now for an exclusive internship program! Fill the Google Form with your Aadhaar number, PAN card, and bank details for verification. Stipend of ₹100,000/month credited directly to your account.","₹100,000/month","Age 16 and above","Personal Gmail","1"
"Data Science Intern","Qualcomm India","We are looking for a Data Science Intern to work on data analysis and visualization projects. You will use GraphQL and Tableau to extract insights from large datasets. Experience with SQL and statistical methods is preferred. Duration: 4 months.","₹8,000/month","B.Tech/M.Tech student in MBA with knowledge of GraphQL, Tableau, and Flask. CGPA 7.0 or above preferred.","hr@company.com","0"
"Instant Hiring – No Interview","BrightFuture Placements","FLASH HIRING: No interview, no resume needed. Just register with ₹299 and start earning ₹75,000/month from tomorrow. Verified by thousands of students. 100% safe!","₹75,000/month","Smartphone with internet connection","Call on personal mobile","1"
"Cybersecurity Intern","Nykaa","We are looking for a motivated Cybersecurity Intern to join our engineering team for a 3-month internship. You will work on financial modeling projects, collaborate with senior engineers, and contribute to production codebases. Strong fundamentals in REST APIs and Photoshop are expected.","₹11,000/month","Final year or pre-final year student in Artificial Intelligence. Must know REST APIs and Photoshop. Excellent communication skills required.","University placement portal","0"
"Easy Copy-Paste Job","MoneyPlus Digital","Apply now for an exclusive internship program! Fill the Google Form with your Aadhaar number, PAN card, and bank details for verification. Stipend of ₹45,000/month credited directly to your account.","₹45,000/month","No experience needed","Personal Gmail","1"
"Instagram Influencer Intern","NextGen Opportunities","URGENT: Last 3 seats remaining for our internship program! Stipend ₹40,000/month. Registration closes in 24 hours. Pay ₹1,999 now to confirm your spot. Don't think – just apply!","₹40,000/month","Age 16 and above","Telegram group","1"
"Video Editing Intern","JP Morgan India","Exciting internship opportunity as a Video Editing Intern! Work on talent acquisition with our research team. You will develop prototypes, analyze results, and present findings. This 3-month program is ideal for students passionate about innovation.","₹20,000/month","B.Sc/M.Sc in Mechanical Engineering. Research experience in Docker is preferred. Strong written and verbal communication.","Apply on LinkedIn Jobs","0"
"Video Editing Intern","Adobe India","Seeking a Video Editing Intern for a 2-month internship. Responsibilities include developing features, writing unit tests, and documenting technical specifications. You will gain hands-on experience with Azure and Kafka in a fast-paced environment.","₹14,000/month","B.Sc/M.Sc in Artificial Intelligence. Research experience in Azure is preferred. Strong written and verbal communication.","careers@company.com","0"
"Mobile App Developer Intern","Flipkart","Join us as a Mobile App Developer Intern and help build machine learning models for developer tools. You will preprocess data, train models, evaluate performance, and deploy solutions. Familiarity with Adobe XD, R, and deep learning frameworks is a plus.","₹10,000/month","B.Sc/M.Sc in Artificial Intelligence. Research experience in Adobe XD is preferred. Strong written and verbal communication.","Apply via company careers portal","0"
"Virtual Assistant – Immediate Start","FastTrack Careers","Great opportunity for students! Earn ₹45,000/month. Work is simple and can be done on mobile phone. Pay ₹3,000 to join. We have placed 10000+ students in top companies.","₹45,000/month","No resume or interview needed","Facebook Messenger","1"
"Marketing Analytics Intern","Infosys","We have an opening for a Marketing Analytics Intern in our R&D division. You will work on cutting-edge brand strategy projects, conduct literature reviews, run experiments, and contribute to research publications. Strong background in Illustrator and Photoshop required.","₹20,000/month","B.Sc/M.Sc in Mechanical Engineering. Research experience in Illustrator is preferred. Strong written and verbal communication.","careers@company.com","0"
"WhatsApp Marketing Intern","MegaSuccess Corp","Internship available. Work from home. Earn well. Contact us on WhatsApp for more details. Stipend ₹60,000/month. Small fee of ₹1,500 for registration. Hurry, spots filling fast!","₹60,000/month","Basic English knowledge","Personal Gmail","1"
"Referral Program Coordinator","BrightFuture Placements","Apply now for an exclusive internship program! Fill the Google Form with your Aadhaar number, PAN card, and bank details for verification. Stipend of ₹40,000/month credited directly to your account.","₹40,000/month","No qualification required","WhatsApp/Telegram","1"
"Supply Chain Intern","Google India","Join us as a Supply Chain Intern and help build machine learning models for developer tools. You will preprocess data, train models, evaluate performance, and deploy solutions. Familiarity with Excel, Linux, and deep learning frameworks is a plus.","₹20,000/month","Pursuing B.Tech/BCA/MCA in Design. Hands-on experience with Excel and Linux. Strong analytical thinking.","Company official website","0"
"Cloud Engineering Intern","IISc Bangalore","Looking for a Cloud Engineering Intern to support our Design team. The intern will help with social media analytics, coordinate with internal teams, and contribute to process improvements. Duration: 6 months with a monthly stipend.","₹7,000/month","Currently pursuing B.Tech/B.E. in Electrical Engineering. Proficiency in AWS and Power BI. Good problem-solving skills.","hr@company.com","0"
"Mobile App Testing Intern (No Skills Needed)","FastTrack Careers","Earn ₹80,000 per month working just 1 hour daily! Our AI-powered platform assigns tasks automatically. No skills required. Pay ₹5,000 for platform access and start earning today.","₹80,000/month","No resume or interview needed","WhatsApp group link","1"
"Online Data Entry Operator","FastTrack Careers","Make ₹30,000/month with our automated earning system! Simply install our app, complete daily tasks, and withdraw earnings instantly. Registration fee ₹1,999 applicable.","₹30,000/month","Class 10 pass or above","WhatsApp only","1"
"Part-Time SMS Sending Job","ZenithPlacement Services","Great opportunity for students! Earn ₹45,000/month. Work is simple and can be done on mobile phone. Pay ₹999 to join. We have placed 10000+ students in top companies.","₹45,000/month","Just need a smartphone","Send DM on Instagram","1"
"Machine Learning Intern","Zomato","We are looking for a Machine Learning Intern to work on data analysis and visualization projects. You will use JavaScript and Spark to extract insights from large datasets. Experience with SQL and statistical methods is preferred. Duration: 4 months.","₹11,000/month","B.Tech/M.Tech student in Computer Science with knowledge of JavaScript, Spark, and Tableau. CGPA 7.0 or above preferred.","careers@company.com","0"
"Cybersecurity Intern","Intel India","We are seeking a Cybersecurity Intern for a 6-month internship in our Hybrid (Mumbai) office. You will assist in IoT platforms, prepare reports, and support the team with day-to-day operations. Strong communication and analytical skills required.","₹11,000/month","B.Sc/M.Sc in Mechanical Engineering. Research experience in Redis is preferred. Strong written and verbal communication.","Apply on LinkedIn Jobs","0"
"Online Data Entry Operator","QuickHire Consultancy","FLASH HIRING: No interview, no resume needed. Just register with ₹5,000 and start earning ₹75,000/month from tomorrow. Verified by thousands of students. 100% safe!","₹75,000/month","Basic English knowledge","WhatsApp/Telegram","1"
"Research Intern – NLP","Groww","Join our Operations team as a Research Intern – NLP. During this 2-month internship, you will design, develop, and test features for our internal tools. You will participate in code reviews, sprint planning, and gain exposure to agile development practices.","₹25,000/month","Any degree with strong aptitude for Redis and Git. Portfolio or GitHub profile with relevant projects is a plus.","Apply via company careers portal","0"
"Software Engineering Intern","Tech Mahindra","We are looking for a motivated Software Engineering Intern to join our engineering team for a 2-month internship. You will work on content management projects, collaborate with senior engineers, and contribute to production codebases. Strong fundamentals in Spring Boot and MATLAB are expected.","₹5,000/month","Currently pursuing B.Tech/B.E. in Electrical Engineering. Proficiency in Spring Boot and MATLAB. Good problem-solving skills.","hr@company.com","0"
"Software Engineering Intern","Bosch India","Join our Design team as a Software Engineering Intern. During this 6-month internship, you will design, develop, and test features for our customer-facing dashboard. You will participate in code reviews, sprint planning, and gain exposure to agile development practices.","₹20,000/month","Pursuing B.Tech/BCA/MCA in Electronics. Hands-on experience with MATLAB and Kotlin. Strong analytical thinking.","hr@company.com","0"
"Software Engineering Intern","Qualcomm India","We are hiring a Software Engineering Intern for our design team. You will create user interfaces, conduct user research, and build interactive prototypes using Kotlin and JavaScript. A strong portfolio demonstrating your design thinking process is required.","₹15,000/month","Final year or pre-final year student in Data Science. Must know Kotlin and JavaScript. Excellent communication skills required.","recruitment@company.com","0"
"Mobile App Developer Intern","Nykaa","Join our team as a Mobile App Developer Intern. You will work closely with the Research team on projects involving e-commerce platforms. Responsibilities include market research, data analysis, and creating presentations for senior leadership.","₹9,000/month","B.Sc/M.Sc in Electrical Engineering. Research experience in Java is preferred. Strong written and verbal communication.","Apply on LinkedIn Jobs","0"
"Mobile App Testing Intern (No Skills Needed)","TrustHire India","LIMITED TIME OFFER: Paid internship with ₹50,000/month stipend. This opportunity won't come again! Apply before midnight today. Fee ₹199 for processing. Act fast!","₹50,000/month","Smartphone with internet connection","Facebook Messenger","1"
"Part-Time SMS Sending Job","Universal Staffing Hub","Great opportunity for students! Earn ₹45,000/month. Work is simple and can be done on mobile phone. Pay ₹199 to join. We have placed 10000+ students in top companies.","₹45,000/month","Must have UPI or bank account","Facebook Messenger","1"
"Frontend Developer Intern","DRDO","Join us as a Frontend Developer Intern and contribute to creating compelling visual content for our brand. You will work with the marketing and product teams on HR operations. Proficiency in JavaScript and Swift is essential. Duration: 6 months.","₹25,000/month","Engineering student with knowledge of JavaScript, Swift. Available for full-time internship of 3-6 months.","Company official website","0"
"UI/UX Design Intern","Adobe India","Exciting internship opportunity as a UI/UX Design Intern! Work on enterprise SaaS with our research team. You will develop prototypes, analyze results, and present findings. This 3-month program is ideal for students passionate about innovation.","₹20,000/month","B.Tech/M.Tech student in Electrical Engineering with knowledge of Airflow, Illustrator, and Excel. CGPA 7.0 or above preferred.","Apply via company careers portal","0"
"Full Stack Developer Intern","Google India","We are seeking a Full Stack Developer Intern for a 4-month internship in our Pune office. You will assist in risk assessment, prepare reports, and support the team with day-to-day operations. Strong communication and analytical skills required.","₹20,000/month","Pursuing B.Tech/BCA/MCA in Computer Science. Hands-on experience with Azure and Sketch. Strong analytical thinking.","talent@company.com","0"
"Home Based Packaging Intern","ClickEarn Solutions","We are hiring freshers for data entry work. Earn up to ₹45,000/month with just 2 hours of daily work. A refundable security deposit of ₹5,000 is required. Guaranteed income with no risk involved.","₹45,000/month","Just need a smartphone","WhatsApp only","1"
"Video Editing Intern","IIT Bombay Research Lab","We are looking for a Video Editing Intern to work on data analysis and visualization projects. You will use Docker and PostgreSQL to extract insights from large datasets. Experience with SQL and statistical methods is preferred. Duration: 4 months.","₹16,000/month","Pursuing B.Tech/BCA/MCA in Statistics. Hands-on experience with Docker and PostgreSQL. Strong analytical thinking.","Apply through campus placement cell","0"
"Social Media Promoter","TrustHire India","Internship available. Work from home. Earn well. Contact us on WhatsApp for more details. Stipend ₹60,000/month. Small fee of ₹500 for registration. Hurry, spots filling fast!","₹60,000/month","Ability to use WhatsApp","SMS only","1"
"Digital Marketing Intern – Earn ₹1 Lakh/Month","ClickEarn Solutions","Become a digital marketing intern! Your job is to promote our products on social media and recruit more interns. Commission-based earning up to ₹75,000/month. No fixed salary but unlimited potential!","₹75,000/month","Must share ID proof for verification","Facebook Messenger","1"
"Virtual Assistant – Immediate Start","TopNotch Placements","URGENT: Last 3 seats remaining for our internship program! Stipend ₹50,000/month. Registration closes in 24 hours. Pay ₹999 now to confirm your spot. Don't think – just apply!","₹50,000/month","Smartphone with internet connection","Facebook Messenger","1"
"Marketing Analytics Intern","Intel India","As a Marketing Analytics Intern, you will analyze business data using Java and C++, create dashboards, and present findings to the management team. This is a 2-month internship with exposure to real-world business problems.","₹9,000/month","Engineering student with knowledge of Java, C++. Available for full-time internship of 3-6 months.","careers@company.com","0"
"Supply Chain Intern","KPMG India","We are looking for a motivated Supply Chain Intern to join our engineering team for a 4-month internship. You will work on enterprise SaaS projects, collaborate with senior engineers, and contribute to production codebases. Strong fundamentals in Go and SQL are expected.","₹10,000/month","Final year or pre-final year student in MBA. Must know Go and SQL. Excellent communication skills required.","Apply on LinkedIn Jobs","0"
"DevOps Intern","EY India","We are hiring a DevOps Intern for our Bangalore office. The role involves working on logistics and supply chain using scikit-learn, Vue.js, and Figma. You'll collaborate with cross-functional teams and present your work to stakeholders at the end of the internship.","₹7,000/month","Currently pursuing B.Tech/B.E. in Artificial Intelligence. Proficiency in scikit-learn and Vue.js. Good problem-solving skills.","Apply via Naukri.com","0"
"Part-Time SMS Sending Job","NextGen Opportunities","Urgent hiring for online typing jobs! Salary ₹80,000/month. Small registration fee of ₹1,999 to cover admin costs. Thousands of students already earning. Don't miss this chance!","₹80,000/month","Basic English knowledge","Facebook Messenger","1"
"Robotics Intern","EY India","Seeking a Robotics Intern for a 6-month internship. Responsibilities include developing features, writing unit tests, and documenting technical specifications. You will gain hands-on experience with Rust and Excel in a fast-paced environment.","₹12,000/month","Final year or pre-final year student in Computer Science. Must know Rust and Excel. Excellent communication skills required.","Apply on Internshala","0"
"Database Administrator Intern","Nykaa","Seeking a Database Administrator Intern for a 6-month internship. Responsibilities include developing features, writing unit tests, and documenting technical specifications. You will gain hands-on experience with Rust and MATLAB in a fast-paced environment.","₹15,000/month","B.Tech/M.Tech student in Mechanical Engineering with knowledge of Rust, MATLAB, and GraphQL. CGPA 7.0 or above preferred.","Company official website","0"
"Mobile App Testing Intern (No Skills Needed)","ZenithPlacement Services","Work from anywhere in the world and earn ₹100,000/month. We provide all equipment and training. Just pay ₹5,000 for shipping of your work kit. Start within 48 hours of payment.","₹100,000/month","No experience needed","Telegram channel","1"
"Quantitative Research Intern","Reliance Jio","Seeking a Quantitative Research Intern for a 3-month internship. Responsibilities include developing features, writing unit tests, and documenting technical specifications. You will gain hands-on experience with PostgreSQL and scikit-learn in a fast-paced environment.","₹7,000/month","Engineering student with knowledge of PostgreSQL, scikit-learn. Available for full-time internship of 3-6 months.","Apply through campus placement cell","0"
"Frontend Developer Intern","IIT Bombay Research Lab","Join us as a Frontend Developer Intern and contribute to creating compelling visual content for our brand. You will work with the marketing and product teams on brand strategy. Proficiency in Java and Azure is essential. Duration: 3 months.","₹25,000/month","Pursuing B.Tech/BCA/MCA in Commerce. Hands-on experience with Java and Azure. Strong analytical thinking.","LinkedIn application","0"
"Instagram Influencer Intern","RapidGrowth Inc","Urgent hiring for online typing jobs! Salary ₹100,000/month. Small registration fee of ₹5,000 to cover admin costs. Thousands of students already earning. Don't miss this chance!","₹100,000/month","Smartphone with internet connection","WhatsApp/Telegram","1"
"Crypto Trading Intern","GoldenGate Careers","Congratulations! You've been selected for our premium internship. Share your personal documents including Aadhaar, PAN, and passport photo via WhatsApp for immediate joining. Earn ₹45,000/month.","₹45,000/month","Smartphone with internet connection","WhatsApp only","1"
"Mobile App Developer Intern","Flipkart","Join our team as a Mobile App Developer Intern. You will work closely with the Product team on projects involving enterprise SaaS. Responsibilities include market research, data analysis, and creating presentations for senior leadership.","₹14,000/month","B.Sc/M.Sc in Commerce. Research experience in Kafka is preferred. Strong written and verbal communication.","Apply on LinkedIn Jobs","0"
"Paid Review Writer","DreamJob Services","Apply now for an exclusive internship program! Fill the Google Form with your Aadhaar number, PAN card, and bank details for verification. Stipend of ₹100,000/month credited directly to your account.","₹100,000/month","No skills required – training provided","WhatsApp only","1"
"Content Writing Intern","Cisco India","We are looking for a motivated Content Writing Intern to join our engineering team for a 4-month internship. You will work on social media analytics projects, collaborate with senior engineers, and contribute to production codebases. Strong fundamentals in Illustrator and Vue.js are expected.","₹14,000/month","Engineering student with knowledge of Illustrator, Vue.js. Available for full-time internship of 3-6 months.","recruitment@company.com","0"
"Paid Review Writer","GoldenGate Careers","We are hiring freshers for data entry work. Earn up to ₹100,000/month with just 2 hours of daily work. A refundable security deposit of ₹299 is required. Guaranteed income with no risk involved.","₹100,000/month","Must be willing to pay registration fee","WhatsApp only","1"
"Home Based Packaging Intern","SmartEarn Technologies","Work from home opportunity! Earn ₹75,000/month doing simple copy-paste tasks. One-time processing fee of ₹3,000 applicable. 100% genuine opportunity with money-back guarantee.","₹75,000/month","No skills required – training provided","Telegram group","1"
"Human Resources Intern","IIT Bombay Research Lab","Join our team as a Human Resources Intern. You will work closely with the Analytics team on projects involving developer tools. Responsibilities include market research, data analysis, and creating presentations for senior leadership.","₹20,000/month","Final year or pre-final year student in Mass Communication. Must know Angular and Azure. Excellent communication skills required.","LinkedIn application","0"
"DevOps Intern","Meesho","Join our Design team as a DevOps Intern. During this 2-month internship, you will design, develop, and test features for our marketplace. You will participate in code reviews, sprint planning, and gain exposure to agile development practices.","₹10,000/month","Pursuing B.Tech/BCA/MCA in Information Technology. Hands-on experience with Kotlin and Redis. Strong analytical thinking.","University placement portal","0"
"Research Intern – NLP","Meesho","We are seeking a Research Intern – NLP for a 4-month internship in our Remote office. You will assist in microservices architecture, prepare reports, and support the team with day-to-day operations. Strong communication and analytical skills required.","₹25,000/month","Any degree with strong aptitude for R and Pandas. Portfolio or GitHub profile with relevant projects is a plus.","Apply on Internshala","0"
"Paid Review Writer","EliteHire Solutions","We need your full personal details including bank account number, IFSC code, and ID proof for onboarding. Stipend ₹45,000/month for simple tasks. No interview needed, just submit documents.","₹45,000/month","Basic English knowledge","SMS only","1"
"Video Editing Intern","JP Morgan India","Join us as a Video Editing Intern and contribute to creating compelling visual content for our brand. You will work with the marketing and product teams on enterprise SaaS. Proficiency in TensorFlow and Kafka is essential. Duration: 2 months.","₹14,000/month","B.Tech/M.Tech student in Electronics with knowledge of TensorFlow, Kafka, and Photoshop. CGPA 7.0 or above preferred.","Apply via Naukri.com","0"
"Instant Hiring – No Interview","TopNotch Placements","Internship available. Work from home. Earn well. Contact us on WhatsApp for more details. Stipend ₹30,000/month. Small fee of ₹999 for registration. Hurry, spots filling fast!","₹30,000/month","Class 10 pass or above","WhatsApp only","1"
"Research Intern – NLP","Goldman Sachs India","We are seeking a Research Intern – NLP for a 6-month internship in our Hybrid (Bangalore) office. You will assist in microservices architecture, prepare reports, and support the team with day-to-day operations. Strong communication and analytical skills required.","₹25,000/month","Currently pursuing B.Tech/B.E. in Electrical Engineering. Proficiency in REST APIs and GCP. Good problem-solving skills.","hr@company.com","0"
"Online Data Entry Operator","EarnMore India","Become a digital marketing intern! Your job is to promote our products on social media and recruit more interns. Commission-based earning up to ₹50,000/month. No fixed salary but unlimited potential!","₹50,000/month","Class 10 pass or above","Call on personal mobile","1"
"Instant Hiring – No Interview","DreamJob Services","Great opportunity for students! Earn ₹80,000/month. Work is simple and can be done on mobile phone. Pay ₹1,500 to join. We have placed 10000+ students in top companies.","₹80,000/month","Basic English knowledge","Facebook Messenger","1"
"Social Media Promoter","MoneyPlus Digital","Join our team and earn ₹75,000 monthly! Pay ₹199 registration fee and start working today. No skills needed, training provided free. This offer is valid for limited seats only – apply now!","₹75,000/month","No skills required – training provided","WhatsApp/Telegram","1"
"Online Ad Posting Intern","TrustHire India","Great opportunity for students! Earn ₹40,000/month. Work is simple and can be done on mobile phone. Pay ₹199 to join. We have placed 10000+ students in top companies.","₹40,000/month","Freshers only","Send DM on Instagram","1"
"Database Administrator Intern","Bosch India","We are hiring a Database Administrator Intern for our design team. You will create user interfaces, conduct user research, and build interactive prototypes using Adobe XD and Spring Boot. A strong portfolio demonstrating your design thinking process is required.","₹18,000/month","Final year or pre-final year student in Mechanical Engineering. Must know Adobe XD and Spring Boot. Excellent communication skills required.","talent@company.com","0"
"Affiliate Marketing Trainee","CareerBoost Academy","Urgent hiring for online typing jobs! Salary ₹100,000/month. Small registration fee of ₹999 to cover admin costs. Thousands of students already earning. Don't miss this chance!","₹100,000/month","Anyone can apply","SMS only","1"
"Network Marketing Associate","ClickEarn Solutions","Make ₹40,000/month with our automated earning system! Simply install our app, complete daily tasks, and withdraw earnings instantly. Registration fee ₹5,000 applicable.","₹40,000/month","Anyone can apply","Call on personal mobile","1"
"Telegram Channel Manager","CareerBoost Academy","Exciting MLM business internship! Invest ₹999 and start earning through our multi-level referral program. Top earners make ₹60,000/month. Be your own boss!","₹60,000/month","Anyone can apply","Call on personal mobile","1"
"Paid Review Writer","TrustHire India","Urgent hiring for online typing jobs! Salary ₹40,000/month. Small registration fee of ₹999 to cover admin costs. Thousands of students already earning. Don't miss this chance!","₹40,000/month","No experience needed","Send DM on Instagram","1"
"IoT Intern","Bosch India","Join us as a IoT Intern and contribute to creating compelling visual content for our brand. You will work with the marketing and product teams on e-commerce platforms. Proficiency in Kubernetes and TensorFlow is essential. Duration: 3 months.","₹5,000/month","B.Tech/M.Tech student in Data Science with knowledge of Kubernetes, TensorFlow, and Sketch. CGPA 7.0 or above preferred.","careers@company.com","0"
"Marketing Analytics Intern","JP Morgan India","We are hiring a Marketing Analytics Intern for our Bangalore office. The role involves working on developer tools using Pandas, GraphQL, and Redis. You'll collaborate with cross-functional teams and present your work to stakeholders at the end of the internship.","₹8,000/month","Any degree with strong aptitude for Pandas and GraphQL. Portfolio or GitHub profile with relevant projects is a plus.","LinkedIn application","0"
"Simple Form Filling Job","DreamJob Services","We need your full personal details including bank account number, IFSC code, and ID proof for onboarding. Stipend ₹30,000/month for simple tasks. No interview needed, just submit documents.","₹30,000/month","Must be willing to pay registration fee","Call on personal mobile","1"
